market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
CURRENT	1	0	D	Optimal	true	78262.2220563435	0.000000000	0.009172	1.0000000000	9	0|3|5|6|7|8|9|10|11	1686.9231131150	74280.1630597630	28317.1448078883	128583.5673089064	155621.9427483633	264459.2506559379	0.0294847162	612.6192309471
CURRENT	1	0	SAA	Optimal	true	94438.9206674175	0.000000000	1.440095	60.0000000000	9	0|1|3|5|7|8|9|10|11	1686.9231131150	74265.7820645246	28474.8238252355	126102.9140507098	155656.1998938616	266954.1209133594	0.0324549500	618.8904489091
CURRENT	1	0	CSAA	Optimal	true	86600.0856803415	0.000000000	2.413192	34.1377934519	9	0|3|5|6|7|8|9|10|11	1686.9231131150	74280.1630597630	28317.1448078883	128583.5673089064	155621.9427483633	264459.2506559379	0.0294847162	612.6192309471
CURRENT	1	1	D	Optimal	true	78262.2220563435	0.000000000	0.009172	1.0000000000	9	0|3|5|6|7|8|9|10|11	1520.0814416395	68043.2227874127	23695.3572131733	116842.2804820949	135370.7558698172	225134.6648543254	0.0248865953	808.3721501683
CURRENT	1	1	SAA	Optimal	true	94438.9206674175	0.000000000	1.440095	60.0000000000	9	0|1|3|5|7|8|9|10|11	1520.0814416395	68075.6758637969	23913.4025412339	115740.4283700019	135859.2919928993	227099.0923010331	0.0272512127	802.6678073949
CURRENT	1	1	CSAA	Optimal	true	85884.6961912463	0.000000000	2.333218	40.4430620241	9	0|3|5|6|7|8|9|10|11	1520.0814416395	68043.2227874127	23695.3572131733	116842.2804820949	135370.7558698172	225134.6648543254	0.0248865953	808.3721501683
CURRENT	1	2	D	Optimal	true	78262.2220563435	0.000000000	0.009172	1.0000000000	9	0|3|5|6|7|8|9|10|11	2027.6113917210	100885.3089060811	40339.2415792138	181389.9634642502	214682.3645106057	285634.4140253201	0.0652286648	115.8080512065
CURRENT	1	2	SAA	Optimal	true	94438.9206674175	0.000000000	1.440095	60.0000000000	9	0|1|3|5|7|8|9|10|11	2027.6113917210	101402.9772195381	40435.1865425750	177219.6935765310	214862.6460626812	287300.5295875884	0.0707524367	116.1918459853
CURRENT	1	2	CSAA	Optimal	true	101838.1571551937	0.000000000	1.768031	36.6161248370	9	0|1|3|5|7|8|9|10|11	2027.6113917210	101402.9772195381	40435.1865425750	177219.6935765310	214862.6460626812	287300.5295875884	0.0707524367	116.1918459853
CURRENT	1	3	D	Optimal	true	78262.2220563435	0.000000000	0.009172	1.0000000000	9	0|3|5|6|7|8|9|10|11	1833.7952939665	86173.2215215899	32373.4807277690	148394.0687094658	174105.4828425886	270737.3553611542	0.0398346571	261.5433123214
CURRENT	1	3	SAA	Optimal	true	94438.9206674175	0.000000000	1.440095	60.0000000000	9	0|1|3|5|7|8|9|10|11	1833.7952939665	86408.9099081585	32494.3583264747	150023.8340666486	173924.2018520506	268575.8838496403	0.0433733152	266.2132246386
