market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	D	Optimal	true	46857.3317854169	0.000000000	0.014589	1.0000000000	9	0|2|3|4|5|7|9|13|14	824.8982713558	49897.5077932516	33352.5785366855	112546.9077219026	160165.5989309211	278472.8127185474	0.0620834625	2857.1537989965
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	SAA	Optimal	true	64212.6125000372	0.000000000	2.703565	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	824.8982713558	48511.4161041139	24489.8331593545	93878.9683408595	131506.3948153860	226699.1903351034	0.0311962614	5846.2429827332
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	45692.3432045556	0.000000000	1.198173	10.9825845860	10	2|3|4|5|7|8|9|11|13|14	824.8982713558	46951.5496858436	26253.3471476761	94782.8308925893	135365.4233366273	237344.6224484726	0.0364390056	3955.0891902744
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	C-CHI2	PrimalFeasible	true	63705.5319272366	0.000000000	22.571311	10.9825845860	11	1|2|3|4|5|7|8|9|11|13|14	824.8982713558	48511.4161041139	24489.8331593545	93878.9683408595	131506.3948153860	226699.1903351034	0.0311962614	5846.2429827332
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	51481.6534874979	0.000000000	6.728693	100.0000000000	10	2|3|4|5|7|8|9|12|13|14	824.8982713558	46045.2878060893	26734.8093945036	94518.8561178820	136242.7109364189	243533.8133196274	0.0364220778	3334.3358118197
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	D	Optimal	true	46857.3317854169	0.000000000	0.014589	1.0000000000	9	0|2|3|4|5|7|9|13|14	631.2066319278	35920.9976944724	19201.1678426238	63857.7815308846	95638.1026533146	265388.3090845689	0.0210195992	4408.7270480607
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	SAA	Optimal	true	64212.6125000372	0.000000000	2.703565	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	631.2066319278	38113.9092435301	13316.0700760758	53841.7019499221	75051.7393910656	218252.6457188855	0.0071786408	8122.8794738268
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	48249.6916375799	0.000000000	2.720525	21.1874681958	10	0|2|3|4|5|7|8|9|11|14	631.2066319278	37553.1344094309	14142.3089830429	53453.5395256563	77117.7253096843	225218.4725309839	0.0078536763	7358.8373060798
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	C-CHI2	PrimalFeasible	true	65451.3052389920	0.000000000	16.681167	21.1874681958	11	0|1|2|3|4|5|7|8|9|11|14	631.2066319278	39837.4270651183	12607.7794467758	54847.0514896366	74553.7445007087	210963.1902484601	0.0062842407	9816.6905605081
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	36120.5290989403	0.000000000	13.584559	100.0000000000	8	3|4|5|7|8|9|13|14	631.2066319278	34435.7940157525	19861.4076371796	61430.5449084474	95337.5620088483	270501.4923049367	0.0245403899	2823.2496041835
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	2	D	Optimal	true	46857.3317854169	0.000000000	0.014589	1.0000000000	9	0|2|3|4|5|7|9|13|14	1087.8332895261	62839.6077753023	47099.4102355992	150240.7302260308	220725.1905596861	353079.5980211039	0.0904769597	1144.3877137823
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	2	SAA	Optimal	true	64212.6125000372	0.000000000	2.703565	60.0000000000	11	1|2|3|4|5|7|8|9|11|13|14	1087.8332895261	57578.3974511171	33022.2165945946	121884.9728540977	170343.0724312972	281693.9476551146	0.0472218786	2996.6671597954
PERSISTENT_WIDE_MQC_1.50_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	68030.8554274861	0.000000000	2.096503	14.0976467154	11	0|1|2|3|4|5|7|8|9|13|14	1087.8332895261	56895.1918129052	33444.8999493089	120563.7404452582	172770.8473990123	291702.7648710358	0.0450928753	2860.3801127739
