market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
CURRENT	1	0	D	Optimal	true	100925.7926769860	0.000000000	0.010831	1.0000000000	9	0|3|5|6|7|8|9|10|11	2080.4649666007	103890.8962854722	61297.4054373524	217810.6076765675	292470.8437693528	580389.4109940679	0.0863221901	2309.0277836232
CURRENT	1	0	SAA	Optimal	true	136719.9155037258	0.000000000	1.194882	60.0000000000	9	0|1|3|5|7|8|9|10|11	2080.4649666007	103665.7919759217	61147.8775110872	217209.6726225051	291373.3391204853	581715.2242152048	0.0885131796	2300.4800819054
CURRENT	1	0	CSAA	Optimal	true	124438.3980880023	0.000000000	1.621404	34.1377934519	9	0|1|3|5|7|8|9|10|11	2080.4649666007	103665.7919759217	61147.8775110872	217209.6726225051	291373.3391204853	581715.2242152048	0.0885131796	2300.4800819054
CURRENT	1	1	D	Optimal	true	100925.7926769860	0.000000000	0.010831	1.0000000000	9	0|3|5|6|7|8|9|10|11	1830.2024593875	94505.2645170967	51571.5746620055	200377.3942274764	249900.7620039381	506591.0885655959	0.0754758058	2612.9473725176
CURRENT	1	1	SAA	Optimal	true	136719.9155037258	0.000000000	1.194882	60.0000000000	9	0|1|3|5|7|8|9|10|11	1830.2024593875	94487.5465330828	51495.7765748144	197601.8381461263	249391.2986831029	506003.7909467258	0.0784443028	2591.2466398008
CURRENT	1	1	CSAA	Optimal	true	123748.9423215583	0.000000000	2.104105	40.4430620241	9	0|1|3|5|7|8|9|10|11	1830.2024593875	94487.5465330828	51495.7765748144	197601.8381461263	249391.2986831029	506003.7909467258	0.0784443028	2591.2466398008
CURRENT	1	2	D	Optimal	true	100925.7926769860	0.000000000	0.010831	1.0000000000	9	0|3|5|6|7|8|9|10|11	2591.4973845097	147827.8297571843	88111.4800340456	319911.2981417312	414697.8813713394	621092.3972855038	0.1477890679	699.2175669909
CURRENT	1	2	SAA	Optimal	true	136719.9155037258	0.000000000	1.194882	60.0000000000	9	0|1|3|5|7|8|9|10|11	2591.4973845097	148107.5156927158	87846.8099866554	315453.5867622325	413883.0735989354	623327.4305609062	0.1525662727	713.1676252853
CURRENT	1	2	CSAA	Optimal	true	149367.7962353188	0.000000000	1.628016	36.6161248370	9	0|1|3|5|7|8|9|10|11	2591.4973845097	148107.5156927158	87846.8099866554	315453.5867622325	413883.0735989354	623327.4305609062	0.1525662727	713.1676252853
CURRENT	1	3	D	Optimal	true	100925.7926769860	0.000000000	0.010831	1.0000000000	9	0|3|5|6|7|8|9|10|11	2300.7732378779	122630.7987663377	69135.4895902608	250791.4871972875	322401.0917450795	646517.2957076792	0.1050926601	1237.3445138207
CURRENT	1	3	SAA	Optimal	true	136719.9155037258	0.000000000	1.194882	60.0000000000	9	0|1|3|5|7|8|9|10|11	2300.7732378779	122694.1033870485	68862.7845329829	251178.9990624998	321173.0977971188	639945.1539073386	0.1081748934	1226.8579812452
