market	replication	query	method	status	certified	objective	gap	solve_sec	ess	selected_count	selected	nominal_total	oos_mean	oos_sd	oos_q95	oos_cvar95	oos_max	spot_share	mqc_penalty
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	D	Optimal	true	43510.2795835310	0.000000000	0.011271	1.0000000000	8	2|3|4|5|6|7|8|14	824.8982713558	48385.2342832053	15869.0218114614	79408.2238109572	93959.5086146978	158348.2066654838	0.0944097044	1641.5293318367
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	SAA	Optimal	true	56527.0290842911	0.000000000	3.272774	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	824.8982713558	47754.4799475149	12032.6285325991	70897.2975922704	85046.6254593172	145951.6291045293	0.0407498886	5337.4357114291
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	CSAA	Optimal	true	53014.1629537422	0.000000000	3.956167	34.1377934519	10	2|3|4|5|7|8|9|11|13|14	824.8982713558	47754.4799475149	12032.6285325991	70897.2975922704	85046.6254593172	145951.6291045293	0.0407498886	5337.4357114291
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	RCSAA	OPTIMAL	true	54920.7702873193	0.000000000	161.676907	34.1377934519	10	2|3|4|5|7|8|9|11|13|14	824.8982713558	47754.4799475149	12032.6285325991	70897.2975922704	85046.6254593172	145951.6291045293	0.0407498886	5337.4357114291
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	C-CHI2	PrimalFeasible	true	54920.7707786006	0.000000000	30.318836	34.1377934519	10	2|3|4|5|7|8|9|11|13|14	824.8982713558	47754.4799475149	12032.6285325991	70897.2975922704	85046.6254593172	145951.6291045293	0.0407498886	5337.4357114291
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	0	ORACLE	Optimal	true	46943.3246234280	0.000000000	10.162591	100.0000000000	9	2|3|4|7|8|9|12|13|14	824.8982713558	45717.3392157890	12615.3864304294	70191.3197285924	83972.1023937553	147639.3755327035	0.0507030356	2462.6720356108
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	D	Optimal	true	43510.2795835310	0.000000000	0.011271	1.0000000000	8	2|3|4|5|6|7|8|14	631.2066319278	34963.7110448618	8136.2959546071	50055.5616445134	60838.7058442880	88791.9037666124	0.0361280190	3628.5559472894
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	SAA	Optimal	true	56527.0290842911	0.000000000	3.272774	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	631.2066319278	38351.0847445973	5879.1696216049	48870.5859903600	57175.9221789832	86962.0748356269	0.0113154486	8329.0604873870
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	CSAA	Optimal	true	49692.6551356492	0.000000000	5.631147	40.4430620241	9	2|3|4|5|7|8|11|13|14	631.2066319278	36189.2818998706	6569.8956206362	47092.2113518622	57367.4390969439	84050.0550157854	0.0242027673	5759.2210671806
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	RCSAA	OPTIMAL	true	51679.1927408054	0.000000000	209.627768	40.4430620241	10	1|2|3|4|5|7|8|9|13|14	631.2066319278	38536.8067688451	5999.8510248645	48998.2381187015	57646.0084258996	86048.5246309817	0.0163003294	8428.5533965583
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	C-CHI2	PrimalFeasible	true	51679.1927625713	0.000000000	29.880026	40.4430620241	10	1|2|3|4|5|7|8|9|13|14	631.2066319278	38536.8067688451	5999.8510248645	48998.2381187015	57646.0084258996	86048.5246309817	0.0163003294	8428.5533965583
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	1	ORACLE	Optimal	true	34734.7603303266	0.000000000	13.629618	100.0000000000	7	3|4|5|7|8|13|14	631.2066319278	33871.9166957660	8644.1228832909	50453.1790491384	60968.6945019863	87031.7169552018	0.0537222663	1840.7432744418
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	D	Optimal	true	43510.2795835310	0.000000000	0.011271	1.0000000000	8	2|3|4|5|6|7|8|14	1087.8332895261	59224.9362920739	17504.7990923015	93480.1545884227	106937.6115740828	141268.5503256126	0.1259622218	128.0398547043
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	SAA	Optimal	true	56527.0290842911	0.000000000	3.272774	60.0000000000	10	2|3|4|5|7|8|9|11|13|14	1087.8332895261	56998.4833268451	14188.7813975147	84239.6565055945	98135.4716734901	131432.2401804124	0.0722879078	1585.0123932050
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	CSAA	Optimal	true	59338.6757955737	0.000000000	2.907689	36.6161248370	11	0|1|2|3|4|5|7|8|9|13|14	1087.8332895261	56529.7769582772	12025.7945506489	79317.3423925683	92740.0025040576	125110.8597385592	0.0510692219	3116.7052900421
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	RCSAA	OPTIMAL	true	61090.1149107713	0.000000000	64.644793	36.6161248370	11	0|1|2|3|4|5|7|8|9|13|14	1087.8332895261	56529.7769582772	12025.7945506489	79317.3423925683	92740.0025040576	125110.8597385592	0.0510692219	3116.7052900421
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	C-CHI2	PrimalFeasible	true	61090.1149147645	0.000000000	9.269199	36.6161248370	11	0|1|2|3|4|5|7|8|9|13|14	1087.8332895261	56529.7769582772	12025.7945506489	79317.3423925683	92740.0025040576	125110.8597385592	0.0510692219	3116.7052900421
PERSISTENT_WIDE_MQC_1.75_FIXED_DESIGN_1	1	2	ORACLE	Optimal	true	56015.8296900709	0.000000000	11.315085	100.0000000000	11	0|2|3|4|5|6|7|8|9|13|14	1087.8332895261	56031.2163442072	13379.4267793118	83351.5468751550	95721.4005636983	127308.8099071997	0.0523236660	1972.6723643565
